Date,Name,Year,Letterboxd URI,Rating
2023-01-08,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,4.5
2023-01-08,Lady Vengeance,2005,https://boxd.it/248G,4.5
2023-01-09,Three Thousand Years of Longing,2022,https://boxd.it/kmoy,3.5
2023-01-09,Burning,2018,https://boxd.it/hHUa,2
2023-01-10,American Beauty,1999,https://boxd.it/71Y,1.5
2023-01-10,Respect,2021,https://boxd.it/lPDE,1
2023-01-10,The Amazing Spider-Man,2012,https://boxd.it/27PI,1.5
2023-01-10,Fear Street: 1978,2021,https://boxd.it/lLBu,1.5
2023-01-10,Fear Street: 1994,2021,https://boxd.it/lLBk,1.5
2023-01-10,The Tender Bar,2021,https://boxd.it/rgLq,0.5
2023-01-11,Joint Security Area,2000,https://boxd.it/26Ja,4
2023-01-13,After Life,1998,https://boxd.it/1HMI,3.5
2023-01-14,Thirst,2009,https://boxd.it/1Aqq,4
2023-01-15,All Quiet on the Western Front,2022,https://boxd.it/H08,3.5
2023-01-16,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4.5
2023-01-18,Aftersun,2022,https://boxd.it/Arw0,4.5
2023-01-18,Poetry,2010,https://boxd.it/JAs,2.5
2023-01-19,"I'm a Cyborg, But That's OK",2006,https://boxd.it/2328,4.5
2023-01-20,Stoker,2013,https://boxd.it/34S2,4
2023-01-21,Mulan,1998,https://boxd.it/1VFw,3.5
2023-01-22,The Quiet Girl,2022,https://boxd.it/yvgm,3.5
2023-01-23,Okja,2017,https://boxd.it/dvXe,3.5
2023-01-23,The Host,2006,https://boxd.it/28ZY,3
2023-01-23,Mother,2009,https://boxd.it/1m9g,2.5
2023-01-26,We're All Going to the World's Fair,2021,https://boxd.it/tbmY,3
2023-01-27,20th Century Girl,2022,https://boxd.it/w9ea,2
2023-01-28,Happening,2021,https://boxd.it/tRts,4.5
2023-01-28,Nanny,2022,https://boxd.it/vPHQ,4.5
2023-01-30,The Help,2011,https://boxd.it/EDm,3
2023-01-30,Entergalactic,2022,https://boxd.it/CPN4,4
2023-01-30,Inu-Oh,2021,https://boxd.it/nQDE,4
2023-02-01,Frances Ha,2012,https://boxd.it/41Xg,4
2023-02-02,Space Is the Place,1974,https://boxd.it/1KBo,4
2023-02-05,Roma,2018,https://boxd.it/f69M,1
